epoch,acc,loss,val_acc,val_loss
0,0.49920639583347026,1.0874482665551934,0.5777098520584676,0.9432707411413778
1,0.5958497443146459,0.9057910489479594,0.6193275345778875,0.9186528126352007
2,0.6438774910667475,0.816562147740649,0.6517752171011215,0.8167407799826604
3,0.6699782493400248,0.7593735240907463,0.6940982870261809,0.6979190279967695
4,0.6866733290539323,0.7181552643218401,0.68116623682469,0.7211421149746267
5,0.6976074304756443,0.6938890699328067,0.7237244327923787,0.6523969160888213
6,0.7060137557945556,0.6762694040658606,0.7192569960783769,0.666289711163909
7,0.7135970842115785,0.6609707299479101,0.7093816151513567,0.6584976351305986
8,0.7221797660407506,0.647325402334964,0.7133787924153593,0.7057156747589385
9,0.7251190406417981,0.6386156829532706,0.7180813563422206,0.6685299264902568
10,0.7295279524978188,0.626878611811338,0.7404185315664589,0.6143512219618047
11,0.7333490094959991,0.6222462792727593,0.7498236582289296,0.5826573398480156
12,0.7434013285591211,0.6086394418120545,0.7387726359050077,0.62386303009803
13,0.7439303979742752,0.5976716507105564,0.7305431470096238,0.6312708643193025
14,0.744518252909201,0.5965847597362699,0.7559369893710864,0.5686448557066295
15,0.7456351772522731,0.5925448900681591,0.7383023771487375,0.621575581496277
16,0.7552759978732106,0.5818607399657209,0.7328944336294483,0.6139738849547507
17,0.753982717072436,0.5798561456962262,0.7561721179223526,0.5820371044220264
18,0.7613896890562837,0.5687397215691664,0.7566423735463308,0.5624950298373346
19,0.7578625595518453,0.5648929635183807,0.7338349428943205,0.6346092510722313
20,0.7613896890387643,0.5631665239489119,0.7535857074041521,0.5773506773070338
21,0.7652695314621114,0.5560326027839344,0.7561721181465882,0.5880581310727079
22,0.7657398153960365,0.5558143913356949,0.7310134060041444,0.6223396959653497
23,0.7656222444616096,0.5540860660943985,0.7749823699439242,0.5409306321085522
24,0.7710892951514423,0.5445830765858676,0.7601692955437307,0.5509598947344964
